word	Complex Substance (Locke) <> Mixed Modes (Locke)	Concrete (Brysbaert et al 2014) <> Abstract (Brysbaert et al 2014)	Concrete (HGI) <> Abstract (HGI)	Hard Seed (Heuser & Le-Khac 2012) <> Abstract Values (Heuser & Le-Khac 2012)	Pre-1150 Words (Underwood & Sellars 2012) <> Post-1150 Words (Underwood & Sellars 2012)	Specific Complex Substance (Locke) <> General Complex Substance (Locke)	fpm	lang	pos	rank	ConcAbs (Locke)	ConcAbs (HGI)	lemma	perc_caps	pos_byu	rank_byu
sacrum	-0.12696301192	-0.223527401686	-0.16851074248599998	-0.233153909445	-0.0228039957583	0.00964907556773	1.82458925534		f	16441	Neither	Concrete	sacrum	0.07	nn1	63469
sacs	0.165564671159	0.147382467985	0.19470569491300002	0.0954097062349	0.23712518066100002	0.112046524882	3.1731729470700003		n	12260	Abstract	Abstract	sac	0.45	nn2	35244
sad	-0.043306984007400004	-0.029971927404400002	-0.0005729850381649999	-0.0455532856285	-0.17628501355700002	-0.0672639645636	4.55242260049	enm	j	9970	Neither	Neither	sad	0.05	jj	2437
saddle	-0.18103394657299998	-0.334863424301	-0.311172112823	-0.271973907947	-0.270610436797	-0.149788431823	4.348663892469999	eng	n	10251	Concrete	Concrete	saddle	0.11	nn1	8320
saddled	-0.111123338342	-0.109159514308	-0.111442930997	-0.132704861462	-0.158280827105	-0.112402092665	0.7449904045300001		v	24599	Neither	Neither	saddle	0.04	vvn	22754
saddles	-0.190504260361	-0.299246802926	-0.24668016284699998	-0.21293371170800002	-0.207234956324	-0.165877737105	0.881212914924		n	22882	Concrete	Concrete	saddle	0.1	nn2	27864
sadly	0.043396233581	0.116652686149	0.11022704094699999	0.0301000541076	-0.136549532413	0.00104917641147	4.64886139638	eng	a	9849	Neither	Neither	sadly	0.27	rr	7217
sadness	0.142091222107	0.08333709836	0.102183099836	0.137344338	-0.0733062289655	0.06918090954419999	3.4489896670099998	eng	n	11678	Abstract	Neither	sadness	0.04	nn1	6943
safe	0.006478179944680001	0.051078952848899996	0.0446969419718	0.0280961384997	-0.0461485460401	-0.07423551753169999	53.7725251496	enm	j	1584	Neither	Neither	safe	0.06	jj	1156
safeguard	0.0672035850585	0.034838015213699995	0.012433806434299999	0.032236770726700004	0.012225826270899999	-0.0007472266442999999	1.3999901953	eng	n	18563	Neither	Neither	safeguard	0.04	vv0	17267
safely	0.00093425309751	0.0474895946681	0.0212399940937	0.0192024074495	-0.0604118835181	-0.0301014706492	22.173354099	eng	a	3376	Neither	Neither	safely	0.02	rr	5266
safest	0.07214599475269999	0.0847974978387	0.103374857455	0.0385043099523	0.014295775908999999	0.00545756239444	3.1754291617900003		j	12252	Neither	Neither	safe	0.03	jjt	14725
safety	0.18511993438000002	0.12888469547	0.110290493816	0.109296496958	0.0656260885298	0.062035948038099996	59.4301941505	eng	n	1445	Abstract	Neither	safety	0.14	nn1	1070
saffron	-0.167154662311	-0.315227255225	-0.230745606124	-0.19290903955699998	-0.186932876706	-0.12143604084899999	4.72375788991	eng	n	9749	Concrete	Concrete	saffron	0.22	nn1	22711
sag	-0.054439757019300004	-0.14501792192399998	-0.11586694046900001	-0.109816003591	-0.105442024768	-0.045129327103500004	1.44890190157	eng	v	18303	Neither	Neither	sag	0.39	vv0	27540
sagacious	0.0977714247999	0.136460103094	0.20220191776799998	0.159964978695	0.117636322975	0.115400597453	3.4059555724	eng	j	11765	Neither	Abstract	sagacious	0.1	jj	65417
sagacity	0.285530745984	0.16415358334799998	0.230365626514	0.210326626897	0.191560089588	0.165487781167	8.18117431337	eng	n	6887	Abstract	Abstract	sagacity	0.0	nn1	65653
sage	-0.0650490988046	-0.110632844269	-0.0411852719262	0.0221514077857	-0.10505124181500002	-0.05645819939669999	13.04920331	eng	j	4991	Neither	Neither	sage	0.47	nn1	7440
sages	0.00236976286397	0.0486053563655	0.098464973271	0.0952560640872	0.0266307983548	0.0730056762695	4.87284020147		n	9572	Neither	Neither	sage	0.22	nn2	34527
sago	-0.165044911205	-0.281067430973	-0.213062629104	-0.153424322605	-0.139639884233	-0.093479283154	0.761550303609	nld	f	24399	Concrete	Concrete	sago	0.54	nn1	40529
said	-0.0631500221789	-0.00885884463788	-0.025076159276	-0.055363371968300004	-0.0649650506675	-0.062134789303	1448.28132795	eng	v	75	Neither	Neither	say	0.0	vvd	49
sail	-0.140292018652	-0.212593778968	-0.24164046347100002	-0.18113103509	-0.173692837357	-0.142862446606	43.4684213403	eng	n	1926	Concrete	Concrete	sail	0.06	vv0	10882
sailed	-0.16005633026399999	-0.158022098243	-0.17537908255999998	-0.14851670712200002	-0.11514357104900001	-0.130244262517	15.9543546268	eng	v	4320	Concrete	Concrete	sail	0.01	vvd	13729
sailing	-0.0657271072269	-0.112077724189	-0.10072055458999998	-0.141925297678	-0.0693050771951	-0.0997041687369	10.3271875164	eng	v	5874	Neither	Neither	sailing	0.1	nn1	10294
sailor	-0.15366255492	-0.22386503219599999	-0.147438764572	-0.07705379650000001	-0.151988439262	-0.0315654296428	4.07038998297	eng	n	10629	Concrete	Concrete	sailor	0.34	nn1	9781
sailors	-0.18790589272999997	-0.15605542808800002	-0.112035699188	-0.07680591568350001	-0.109209749848	-0.056054694578	10.6894611926		n	5732	Concrete	Neither	sailor	0.1	nn2	9128
sails	-0.104808229953	-0.228384919465	-0.23261206597	-0.18463459610999997	-0.19273813814	-0.131755135953	13.6191599836		n	4864	Neither	Concrete	sail	0.05	nn2	14635
saint	-0.12243010103700001	-0.0725220441818	-0.013117113616299999	0.025969496928099998	-0.12070782110099999	-0.0311056477949	42.0026075599	enm	n	1996	Neither	Neither	saint	0.72	nn1	9923
saints	-0.042190020903900005	0.0698440857232	0.10861945524800001	0.0365078411997	-0.0591737162322	0.09618277102710002	74.4309001802		n	1156	Neither	Neither	saint	0.56	nn2	6630
sake	0.138786017895	0.128814868629	0.10116250813	0.08550744131210002	-0.0405822936446	0.0414474327117	86.0968530581	enm	n	993	Abstract	Neither	sake	0.02	nn1	4045
sakes	0.07160187512630001	0.124451313168	0.09819507226350001	0.0924562737346	-0.0612708069384	0.042290488258	6.252060837569999		n	8194	Neither	Neither	sake	0.02	nn2	27224
salad	-0.16519279777999998	-0.314633771778	-0.24561042338599998	-0.14780250936699998	-0.211004719138	-0.11734739691	1.20573840581	eng	n	19908	Concrete	Concrete	salad	0.19	nn1	3301
salaries	0.0442530307919	0.0185499778017	0.058055602014100004	0.060391809791299995	0.195970959961	0.0183479944244	4.51029921671		n	10024	Neither	Neither	salary	0.04	nn2	6248
salary	0.0247651888058	-0.0964345335961	-0.0233843345195	0.0017650666413800001	0.0977542847393	-0.0820544064045	7.22749438712	eng	n	7471	Neither	Neither	salary	0.04	nn1	3892
sale	-0.00185876735486	-0.0550489146263	-0.057572180405299996	-0.0200084047392	0.038445230573400005	-0.0090628073085	35.760433999600004	eng	n	2277	Neither	Neither	sale	0.07	nn1	2411
sales	-0.00467744050548	-0.0360812209546	-0.0147626698017	0.00753108039499	0.10546486452199999	-0.0386232919991	3.64025569449	eng	n	11341	Neither	Neither	sales	0.08	nn1	1187
saline	-0.0504913013429	-0.10544152557900001	-0.063617695123	-0.0368195995688	0.105557780712	0.12487006932499999	7.107599155510001	eng	j	7547	Neither	Neither	saline	0.1	jj	20520
saliva	-0.055104903876800004	-0.171794719994	-0.11290433630300001	-0.0991924665869	0.00873510306701	0.09197521954780001	2.24841844958	eng	f	14821	Neither	Neither	saliva	0.06	nn1	15547
salivation	0.0359892565757	-0.0878299959004	-0.0425971746445	-0.0392788704484	0.0614037346095	0.0137727512047	2.99177551709	eng	n	12719	Neither	Neither	salivation	0.0	nn1	95592
sallied	-0.141807846725	-0.13192500174000002	-0.17978340387400002	-0.151332780719	-0.138359025121	-0.0877899974584	1.3468562224899998		v	18929	Concrete	Concrete	sally	0.0	vvd	75594
sallies	0.125062398613	0.08215574920180001	0.0698824413121	0.167030163109	0.0429123286158	0.040284266695300004	3.13596739304		n	12353	Abstract	Neither	sally	0.15	nn2	91454
sallow	-0.145848572254	-0.261309534312	-0.206073045731	-0.17797143757300002	-0.269871875644	-0.0916115865111	1.12991958298	eng	j	20521	Concrete	Concrete	sallow	0.03	jj	35271
sally	-0.07011928223069999	-0.09667149558669999	-0.10963802039699999	-0.0235885512084	-0.11755074188100001	-0.058656426146599994	6.08498400544	eng	n	8352	Neither	Neither	sally	0.98	vv0	65763
salmon	-0.211404129863	-0.298981323838	-0.237932190299	-0.17665961384799997	-0.189835429192	-0.111310139298	5.642515905240001	eng	n	8754	Concrete	Concrete	salmon	0.16	nn1	3971
saloon	-0.182416975498	-0.26772710681	-0.159984886646	-0.111217528582	-0.0722249597311	-0.127052590251	1.35861303107	eng	n	18844	Concrete	Concrete	saloon	0.32	nn1	16433
salt	-0.13106807321299999	-0.25543247908399996	-0.210506007075	-0.14913175255	-0.128079816699	-0.041146796196699996	76.9773804137	eng	n	1122	Concrete	Concrete	salt	0.22	nn1	1451
salted	-0.187104992568	-0.235002465547	-0.22158131748399998	-0.147643014789	-0.19865901768199998	-0.0412732884288	2.15834677385	eng	v	15126	Concrete	Concrete	salted	0.04	jj	16529
salting	-0.0293223336339	-0.09946045652039999	-0.0688107684255	-0.085387159139	-0.136188142002	-0.07034673169260001	0.841957099359		v	23336	Neither	Neither	salt	0.08	vvg	47458
salts	-0.053941512480300005	-0.124095961452	-0.0883572176099	-0.0733337812125	0.0649056807161	0.0898788385094	16.263702756500003		n	4247	Neither	Neither	salt	0.04	nn2	19679
saltwater	-0.154115244746	-0.266975730658	-0.226588360965	-0.192759357393	-0.185023464263	-0.0480416920036	2.01032471875		n	15675	Concrete	Concrete	saltwater	0.09	jj	26712
salutary	0.165526606142	0.20168270170699998	0.22085548192200002	0.166857860982	0.180747970939	0.132018662989	10.1150742098	eng	j	5967	Abstract	Abstract	salutary	0.01	jj	30528
salutation	0.0032061765668899996	-0.0507441181689	0.0193069148808	0.032594678923400004	-0.049484431743599996	-0.0834493041038	2.73489695161		n	13338	Neither	Neither	salutation	0.09	nn1	49708
salutations	-0.00779043836519	-0.0051466403529	0.053835833445100005	0.0721086077392	-0.0309260347858	-0.0763837099076	1.1214720085799998		n	20595	Neither	Neither	salutation	0.09	nn2	63916
salute	-0.0772342719138	-0.104790851474	-0.11679017543800001	-0.04840814694759999	-0.145160436631	-0.137566909194	6.749985399780001	eng	v	7792	Neither	Neither	salute	0.1	nn1	16088
saluted	-0.128120161593	-0.0940815433859	-0.06895228847860001	-0.0703046247363	-0.10675644502000001	-0.165987893939	4.99656579596	eng	v	9442	Concrete	Neither	salute	0.0	vvd	26813
salutes	-0.0613655969501	-0.11731370165999999	-0.0860506258905	-0.0846576876938	-0.19568746537	-0.141726009548	1.5578890619699999		v	17697	Neither	Neither	salute	0.11	vvz	33024
saluting	-0.07160353288049999	-0.0732233598828	-0.0451179184019	-0.0189360138029	-0.11105746775900001	-0.144920758903	1.1260154411299999		v	20555	Neither	Neither	salute	0.05	vvg	32197
salvage	-0.0126166734845	-0.0517433006317	-0.0409046728164	0.0086357514374	-0.0149141168222	0.070454776287	0.900137104431	eng	n	22679	Neither	Neither	salvage	0.08	vv0	17783
salvation	0.192773327231	0.14162030815999999	0.156511053443	0.0769805833697	0.012725775130100002	0.125006228685	106.71084219299999	eng	n	798	Abstract	Abstract	salvation	0.29	nn1	6964
salve	0.0181942479685	-0.114906918257	-0.0995875895022	-0.09721192345030001	-0.09357309341430001	-0.0237905373797	1.6835708905200002	eng	n	17072	Neither	Neither	salve	0.12	nn1	35345
salvo	0.147471092641	0.0429817158729	0.06220491975549999	0.0753882676363	0.16669729352	0.0034699083771599997	1.26590713706	eng	n	19487	Abstract	Neither	salvo	0.15	nn1	32719
samaritan	-0.0651086140424	-0.011437966488299998	0.07847449183460001	0.0586120299995	-0.023554766085	0.0379092786461	3.1430302813099997		n	12333	Neither	Neither	samaritan	0.95	nn1	33422
samaritans	-0.10227207839500001	0.07438199222089999	0.0607434436679	0.0855350196362	0.0239851158112	0.075521569699	2.76081773815		n	13286	Neither	Neither	samaritan	0.98	nn2	46275
same	-0.030178307555599998	0.025694610551	0.034669481217900006	-0.015079632401499999	0.0250145420432	0.0352125577629	1327.00458544	enm	d	82	Neither	Neither	same	0.02	da	155
sameness	0.18900448829	0.178927101195	0.23254030942899998	0.176192991435	0.246301665902	0.256831645966	1.2636928527200002	eng	n	19506	Abstract	Abstract	sameness	0.03	nn1	25659
sample	0.051267640665199996	-0.0771503746509	-0.0039861772675	0.0293993446976	0.0152857848443	-0.024184689857	1.41227631706	eng	n	18514	Neither	Neither	sample	0.07	nn1	1747
samples	-0.022163083311200003	-0.09824073873479999	-0.06084320880469999	-0.05393688008190001	0.0196762047708	-0.0531466854736	0.8319424665909999		n	23463	Neither	Neither	sample	0.04	nn2	3193
sanctification	0.197159722448	0.159071221948	0.193229541182	0.117181256413	0.08728613331910001	0.15512885153300002	2.21065645695	eng	n	14941	Abstract	Abstract	sanctification	0.02	nn1	48962
sanctified	0.0401847735047	0.16187423467700002	0.177091799676	0.115373041481	0.0041695489781	0.117973610759	3.0173257289599995	eng	v	12655	Neither	Abstract	sanctified	0.05	jj	52131
sanctify	0.110648248345	0.166422359646	0.06395131349569999	0.0988418608904	-0.020373809151400003	0.0871986038983	1.9757805254299998	eng	v	15813	Neither	Neither	sanctify	0.03	vv0	54523
sanction	0.26700258255	0.209493339062	0.196261391044	0.19610735028999998	0.291226610542	0.10345036536499999	4.4378870712800005	fra	n	10133	Abstract	Abstract	sanction	0.02	nn1	20180
sanctioned	0.17805514484700002	0.292119592428	0.284148827195	0.24979438632800002	0.294502168894	0.119479171932	1.35349456873	eng	v	18885	Abstract	Abstract	sanction	0.01	vvn	16854
